name,founded,comment,lat,lon,x,y,start_century
Durres,1251-1300, ,41.32757255,19.45314881,2165514.619,5060779.27,1200
Zutphen,1251-1300, ,52.138996,6.206996,690959.6341,6825296.838,1200
Nijmegen,1251-1300, ,51.822997,5.858003,652109.911,6768184.099,1200
Maastricht,1251-1300, ,50.84946122,5.683629584,632698.7512,6594708.231,1200
Argentan,1251-1300, ,48.748003,-0.024001,-2671.7791,6232210.444,1200
Quimperlé,1251-1300, ,47.869,-3.547996,-394961.1081,6085088.707,1200
Fontenay-le-Comte,1251-1300, ,46.465,-0.799,-88944.2731,5855181.512,1200
Pons,1251-1300, ,45.579004,-0.543004,-60446.9288,5713139.085,1200
Saint-Sever,1251-1300, ,43.758997,-0.577996,-64342.2204,5428221.847,1200
Orthez,1251-1300, ,43.492003,-0.772999,-86049.8551,5387162.095,1200
Bergerac,1251-1300, ,44.860003,0.484004,53879.0788,5599508.684,1200
Figeac,1251-1300, ,44.611,2.027999,225755.816,5560487.884,1200
Rodez,1251-1300, ,44.355004,2.569997,286090.7574,5520545.24,1200
Montauban,1251-1300, ,44.020996,1.341002,149279.6598,5468691.938,1200
Condom,1251-1300, ,43.962001,0.371,41299.5311,5459563.632,1200
Lectoure,1251-1300, ,43.938997,0.623,69352.0428,5456006.677,1200
Castres,1251-1300, ,43.603999,2.232002,248465.3261,5404363.237,1200
Saint-Gaudens,1251-1300, ,43.108999,0.722999,80483.8805,5328577.35,1200
Pamiers,1251-1300, ,43.114003,1.615997,179891.9632,5329340.396,1200
Die,1251-1300, ,44.760004,5.366999,597451.5958,5583817.828,1200
Aubenas,1251-1300, ,44.623996,4.379996,487578.9244,5562520.316,1200
Marvejols,1251-1300, ,44.554003,3.287999,366018.3744,5551579.548,1200
Alès,1251-1300, ,44.131003,4.076003,453738.5784,5485737.631,1200
Millau,1251-1300, ,44.104003,3.076004,342419.199,5481551.019,1200
Orange,1251-1300, ,44.095003,4.879001,543127.9069,5480155.906,1200
Nîmes,1251-1300, ,43.846,4.357001,485019.1327,5441641.175,1200
Aix-en-Provence,1251-1300, ,43.533997,5.441996,605800.2236,5393608.088,1200
Grasse,1251-1300, ,43.658998,6.916997,769996.5839,5412822.098,1200
