monastery_name,notes,lat,lon,x,y
Sveta Marija u. Polju,,44.70237916,18.88237688,2101976.58,5574788.238
S. Elisabeth,,50.96706379,10.30885233,1147576.192,6615469.755
Gniezno,,52.5443,17.602,1959445.677,6899146.607
Asti,,44.9,8.2042,913287.3664,5605792.247
Pisa,,43.7146,10.3833,1155863.669,5421381.581
Lucca,,43.8433,10.5157,1170602.369,5441224.434
Siena,,43.3213,11.3308,1261338.886,5361005.559
Viterbo,,42.4198,12.1086,1347923.186,5224072.36
Überlingen, ,47.7687,9.159,1019575.216,6068460.658
Schwäbisch Gmund,,48.8001,9.7909,1089918.002,6241010.364
Schwäbisch Hall,,49.1192,9.7368,1083895.618,6295111.396
Benevento,,41.1304,14.7831,1645647.164,5031594.702
Cosenza,,39.3003,16.2523,1809197.76,4764778.712
Speyer,,49.315,8.4286,938267.4601,6328480.309
Marburg,,50.8079,8.7732,976628.1566,6587383.545
Rothenburg,,49.3759,10.1889,1134223.16,6338886.129
Muhlhausen, ,51.2068,10.4656,1165025.263,6657956.094
Bamberg,,49.8926,10.8871,1211946.428,6427696.786
Schleswig,,54.5171,9.5667,1064960.173,7268703.537
Crotone,,39.0801,17.1267,1906535.523,4733151.714
Brindisi, ,40.637,17.9385,1996904.686,4958945.792
Quimper,,47.9971,-4.1008,-456498.9678,6106372.392
Vannes,,47.6613,-2.7552,-306707.461,6050691.062
Bayonne,,43.4915,-1.4641,-162982.8665,5387084.913
Talavera de la Reina,,39.9598,-4.8311,-537795.592,4860102.244
Toledo,,39.8628,-4.0248,-448038.6865,4846024.734
Tortosa,,40.8115,0.5215,58053.1144,4984577.589
Agen,,44.2049,0.6254,69619.2095,5497205.877
Cahors,,44.4462,1.4418,160500.4418,5534754.32
Narbonne,,43.1844,3.0007,334036.396,5340081.658
Albi,,43.9242,2.1477,239080.8704,5453719.442
Périgueux, ,45.1825,0.719,80038.7139,5650298.279
Le Puy-en-Velay, ,45.0452,3.8818,432119.9994,5628640.11
Angoulême, ,45.6512,0.1679,18690.5425,5724628.879
Troyes,,48.2877,4.081,454294.8419,6154852.024
Bourges,,47.0846,2.404,267612.0559,5955893.895
Nevers,,46.9905,3.166,352437.5079,5940523.568
Avignon,,43.953,4.8177,536303.9108,5458171.704
Valence,,44.9307,4.8841,543695.525,5610618.209
Senlis,,49.2064,2.5895,288261.8214,6309955.999
Arras,,50.2913,2.7714,308510.8368,6496877.542
Rennes,,48.119004,-1.676997,-186682.4521,6126675.744
