"Variable","Mean","Min","Max","SD","N"
"Franciscan Exposure",0.273307471399572,0,1,0.314356522395345,59438
"Dominican Exposure",0.249498466803212,0,1,0.287168945235576,59438
"Female",0.557202463070763,0,1,0.496721279291446,59438
"Age",49.6120311944919,18,82,17.680096399404,59113
"Education Level",414.186167420278,0,6666,301.818176781125,59049
"Income (PPP)",2.29998370497053,0.094340588,12.50679369,1.934795139637,50698
"Political Right",5.65175039556962,1,44,2.76666327814969,40448
"Town Size",2.62680562832123,1,5,1.37669297250187,53444
"Socio-Economic Index",43.8734984399376,11,88,22.0345025787738,51280
"Catholic",0.235421784043878,0,1,0.424265713946643,59438
"Protestant",0.152377267068206,0,1,0.359389216003897,59438
